title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
All the Time,rock,The Strokes,2013,34983,{},"[Verse 1]
Those that try anything once
Should we care about the only ones?

[Pre-Chorus 1]
All the time that I need is never quite enough
All the time that I have is all that’s necessary

[Chorus]
You're livin' a lie, you're livin' a lie
You're livin' too fast, you gotta pray for the best
You never ask why, you never ask why
You're livin' a lie, baby, you're flying too high

[Verse 2]
No one talks about the war
On my block or by the shore

[Pre-Chorus 2]
All alone in a room, do you want what I want, too?
All the time in the world is all that's necessary
[Chorus]
You're livin' a lie, you're livin' a lie
You're livin' too fast, you gotta pray for the best
You never ask why, you never ask why
You're livin' a lie, baby, you're flying too high

[Guitar Solo]

[Chorus]
You never ask why, you never ask why
You're livin' a lie, baby, you're flying too high
Don’t get on the phone, don’t reach for the door
You know the answer that you’re looking for
You’re livin’ a lie, you’re livin’ a lie
You’re livin’ too fast, you gotta pray for the best
You never ask why, you never ask why
You’re livin’ a lie, baby, you’re flying too high",117930,en,en,en
Machu Picchu,rock,The Strokes,2011,115051,{},"[Verse 1]
I'm putting your patience to the test
I'm putting your body on the line, for less
Didn't you know there was a choice?
It's never yours but someone else's voice

[Verse 2]
Sellin' your body to the street
Sending your girlfriends to the night, for cheap
Wearing a jacket made of meat
Sealing a letter made with horse's feet
And now you've heard that

[Chorus 1]
Waves turn to grey
Life in the shade
A violent crime
And that's the USA
Platinum's on the rise
Sleeping in the sky
I'm just tryin' to find
A mountain I can climb
[Verse 1]
I'm putting your patience to the test
I'm putting your body on the line, for less
Didn't you know there was a choice?
It's never yours but someone else's voice
And now you've seen that

[Chorus 2]
Blondes turn to grey
Life in the shade
A violent crime
And that's the USA
Porn's on the rise
Psychos in disguise
I'm just tryin' to find
A mountain I can climb

[Bridge]
Darling, ain't nobody gonna tell us
They're gonna be oh so jealous
We're gonna be oh so silent
They're gonna be stoned in silence
(I didn't want to ask you, baby)
(I didn't want to have to ask anybody, baby)
(Is anyone asking maybe?)
(Can anyone even hear me?)
[Interlude]
Why are you waiting beyond the door?

[Chorus 3]
Life turns to dust
And rain turns to rust
Gossip is a truth
And money pays for the lies we trust
Your love is a surprise
Homeless saints are in disguise
I'm just tryin' to find
A nice place for you and I",120453,en,en,en
Welcome to Japan,rock,The Strokes,2013,153705,{},"If we don't watch the sun
It will rise
If we don't take our time
It's not wise

Putting posters up
For your band (Hey, we're playing a gig tonight if you wanna come by)
Now I'll tear them down
With my hand

I didn't want to notice
Didn't know the gun was loaded
Didn't really know this
What kind of asshole drives a Lotus?

Come here and go get with me
I wanna see you Wednesday
Come on, come on, come over
Take it off your shoulder
Come on and pull me over
We gotta get to work now
Sliding it off your shoulder
As we're falling over
Oh, welcome to Japan!
Scuba-dancing!
Touchdown!

I didn't want to notice
Didn't know the gun was loaded
Didn't really know this
What kind of asshole drives a Lotus?
I didn't want to bore you
Didn't wanna pick up your shit for ya
I've been ready to do this
I'll be there

Come here and go get with me
I wanna see you Wednesday
Come on, come on, come over
Take it off your shoulder
Come on and pull me over
We gotta get to work now
Sliding it off your shoulder
As we're falling over

You did it alone
You did it for fun
You did it for everyone who's on the run
You're not just a friend
You're me born again
We'll be in this race until the very end
He lives on the phone
He cheats on his clone
You'll never believe me 'til you're on your own
Comes in once a month
And he never leaves
He said he is broken
Yet he lives free
Didn't wanna floor ya
I didn't wanna be there for ya
Didn't wanna warn ya
I'll be there",131305,en,en,en
Tap Out,rock,The Strokes,2013,87259,{},"[Verse 1]
They found our city under the water
Gotta get my hands on something new
You don't want to be without this
Something isn't adding up

[Pre-Chorus]
Decide my past
Define my life
Don't ask questions
'Cause I don't know why

[Chorus]
Someone
Didn't wanna know their name
Drifting
You don't wanna know what's going down
Even though I really like your place
Somehow, we don't have to know each other's name

[Verse 2]
They found our city under the water
I began to listen to your eyes
You don't want to live without it
Leaving others in a bind
[Pre-Chorus]
Decide my past
Define my life
Don't ask questions
'Cause I don't know why

[Chorus]
Someone
Didn't wanna know their name
Drifting
You don't wanna know what's going down
Even though I really like your place
Somehow, we don't have to know each other's name

[Guitar Solo]

[Chorus]
Someone
I didn't wanna know their name
Drifting
You don't wanna know what's going down
Even though I really like your place
Somehow, we don't have to know each other's name

[Outro]
Decide my past
Define my life
Don't ask questions
'Cause I don't know why
I don't listen
And I don't speak
Well, it's a talent
But I don't know why",131315,en,en,en
Ask Me Anything,pop,The Strokes,2006,36666,{},"[Verse 1]
Right, wrong, what to do; someday, it will come to you
Hostile Indians, we named a summer camp for you

[Chorus]
I've got nothing to say, I've got nothing to say
I've got nothing to say, I've got nothing to say
I've got nothing to say, I've got nothing to say
I've got nothing to say, I'm in utter dismay
I've got nothing to say

[Verse 2]
Harmless children, we named our soldiers after you
Don't be a coconut, God is trying to talk to you
We could drag it out but that's for other bands to do

[Chorus]
I've got nothing to say, I've got nothing to say
I've got nothing to say, I've got nothing to say
I've got nothing to give, got no reason to live
But I will fight to survive, I've got nothing to hide
Wish I wasn't so shy
[Bridge]
I'd like to watch, I'd like to read
I'd like a part, I'd like the lead

[Chorus]
But I've got nothing to say, I've got nothing to say
I've got nothing to say, I've got nothing to say
I've got nothing to give, got no reason to live
Oh, I'll kill to survive, I've got nothing to hide
Wish I wasn't so shy",131352,en,en,en
80s Comedown Machine,rock,The Strokes,2013,59333,{},"[Verse 1]
It's not the first time
That I've watched you
Passing by
I've tried too hard
To get back there
But, you’re not on time
Anymore

Tried to get in with you
For a second time
You said the world's closed in
But you crawled in
Back inside

[Chorus]
So please
Run away
So please
Run away
[Verse 2]
I tried to believe in fate
For a second try
It's there in the safe
Why don't you
Close the blinds
For the night

[Chorus]
So please
Run away
So please
Run away

[Instrumental]

So please
Run away
So please
Run away
So please
Run away
Run away",131394,en,en,en
Chances,rock,The Strokes,2013,87842,{},"I waited by ya
I waited for ya
I waited on ya
But now I don't

You didn't see it
I didn't see it
I didn't see it
But now, oh, I do

I play your game
I play your game
Now
I play your game
I play your game

I take my chances alone
Get on your horse and be gone
I will not wait up for you anymore
So you can ask me if something is wrong
Will you go?
I don't know anymore
When the night isn't ready for you
It's a fleeting unorthodox view
They invited a stewardess, too
Now they want you to see it
Here's to days he decides he's got time
And he claims that it's not a surprise
When he finds out the truth's on his side

I take my chances alone
Get on your horse and be gone
I will not wait up for you anymore
So you can ask me if something is wrong
Will you go?
I don't know anymore
I don't believe anyone
As they crawl out of my way

Waiting for the night
Leaving night by night
You can see me travel
We could be in trouble every night
We're having a new life",131483,en,en,en
50/50,rock,The Strokes,2013,41751,{},"Why's she telling me the story of her life?
All the things you wanna kill will give you spite
And if you've taken all the prisoners inside
As they're doling out their wisdom in the fire

I will say!
I will say don't judge me!
I will say!
I will say don't judge me!
I wait on a darkened highway!
I wait on a darkened highway!

I can take as long as without looking by
Why's she telling me the story of her life
And if you've taken all the prisoners inside
As they've thrown all their wisdom in the fire

I will say!
I will say don't judge me!
I will say!
I will say don't judge me!
I wait on a darkened highway!
I wait on a darkened highway!
On pace to tie Dan Nickton's record for the worst foul shooter in the history of the playoffs

I will say!
I will say don't judge me!
I will say!
I will say don't judge me!
I wait on a darkened highway!
I wait on a darkened highway!",131484,en,en,en
Slow Animals,rock,The Strokes,2013,52576,{},"You don't have to be so loud
Everyone can hear you in this whole damn crowd
You don't have to try so hard
I think they got the message, you were out of your mind
It's not so good to see you this upset
But the next generation will forget
They're always scared of where their daughter's been
Cause who knows, she could be alone with men
They never wanna see or hear or think about again

Is it gone?
I hope that nothin's wrong
Is it gone?
I hope that nothin's wrong

Oh, please don't try to lick my face
Everyone can see that you're a psycho in this place
The next generation will forget
Where their daughter's been
Or who knows, you could be alone with men
They're never gonna let you understand
Or show you what is to be a man
You don't wanna sit down and think or hear
You don't think anyone is in your ear
I never wanna see your face
Accuse -- it's no ones fault
Is it gone?
I hope that nothin's wrong
Is it gone?
I hope that nothin's wrong

Is it gone?
I hope that nothin's wrong
Is it gone?
I hope that nothin's wrong

They're always scared of where their daughter's been
Cause who knows, she could be alone with men
They never wanna see or hear or think about again

Is it gone?
I hope that nothin's wrong
Is it gone?
I hope that nothin's wrong",131536,en,en,en
Happy Ending,rock,The Strokes,2013,54683,{},"Say it all
Just get it all off your chest
Shake it up
500,000 times
Say no more
We don't believe anything
Teenage angst
Come all ages

Baby, show me where to go
Some things I don't wanna know
Baby, tell me if you're sure
Out all the time

Say it all
I'm not awake anymore
Change my mind
2,000 times before
Seen a knight
Dance on the side of the road
Teenage angst
Come all ages
Baby, show me where to go
Some things I don't wanna know
Baby, tell me if you're sure
Out all the time

Feeling dizzy now
In the running show
All I want to see
All I want to know
Watch you as you stay
Faces at your door
Waiting for your piece
Pull the trigger please

Baby, show me where to go
Somethings I don't wanna know
Baby, tell me if you're sure
Out all the time
Cause I don't wanna see everybody get together
Leave these dreams alone
You don't wanna have to tell me that I wanted you go
Everybody needs a shadow, oh",131537,en,en,en
